,Numero_finess,stjr,Points_ISA,Personnel médical,Internes,Personnels de direction et administratifs,Personnels techniques et ouvriers,Autre sans internes,Autre sans direction et administratif,Autre sans techniques et ouvriers
849,730780525,1,122243.42500000005,25.349999999999998,0.0,31.91,35.51,78.53999999999999,46.629999999999995,43.03
850,740001839,1,448396.5333333332,80.87,67.19999999999999,49.05500000000001,76.6,150.77,168.915,141.37
851,740014345,2,172694.97166666653,63.0,0.0,52.45,19.21,100.18,47.730000000000004,80.97
852,740780192,3,12202.793333333337,5.17,0.0,11.8,6.8,22.57,10.77,15.77
853,740780416,2,135165.41999999998,42.0,0.0,32.93,6.1,47.04,14.11,40.94
854,740780424,2,165896.52666666664,58.620000000000005,0.0,37.77,6.5,53.61,15.84,47.11
855,740781133,1,1857679.268333334,206.09300000000002,121.95,129.8825,125.03999999999998,328.96166666666664,321.02916666666664,325.87166666666667
856,740781190,1,5098.133333333334,4.22,0.0,10.98,26.92,39.400000000000006,28.42,12.48
857,740781208,1,29925.095000000005,7.430000000000001,3.0,9.28,13.875,25.74,19.46,14.864999999999998
858,740790258,1,775005.2133333336,146.94,154.74,183.39,195.58,484.71000000000004,456.06,443.87
859,740790381,1,570943.7433333333,106.95500000000001,52.19,97.39,184.74,354.42,309.22,221.87
860,750000523,3,1551944.8983333334,306.5,357.15999999999997,378.54,115.51,659.03,637.65,900.68
861,750000549,3,397596.475,203.68,255.84,242.05,59.75,406.96000000000004,420.75,603.0500000000001
862,750055287,3,23544.29,18.73,9.0,43.56,13.7,67.26,32.7,62.56
863,750110025,1,73608.03000000003,89.91000000000001,95.07000000000001,151.63,84.68,281.83,225.26999999999998,292.21999999999997
864,750150013,3,40609.115,21.34,6.449999999999999,38.81,4.0,46.650000000000006,14.29,49.10000000000001
865,750150104,3,983385.1883333336,214.92000000000002,94.11,226.24,52.0,403.22,271.09,445.33000000000004
866,750150146,3,82230.86333333333,10.629999999999999,27.630000000000003,24.83,7.65,35.489999999999995,38.290000000000006,55.47
867,750150187,3,5636.553333333334,18.22,2.0100000000000002,18.8,2.72,23.78,6.99,23.070000000000004
868,750150237,3,503006.0533333332,123.69,108.99,163.21,37.12,247.88,193.65999999999997,319.75
869,750150252,3,4224.91,26.82,0.0,33.02,17.93,70.81,37.79,52.88
870,750150260,3,29747.76333333333,25.08,2.4899999999999998,47.5,12.08,,,
871,750150286,3,7996.753333333334,15.9,0.0,25.2,4.8,40.199999999999996,15.0,35.4
872,750150344,3,5098.133333333334,17.770000000000003,3.75,38.77,25.55,70.81,35.79,49.01
873,750150377,3,10414.69,9.59,0.0,,,,,
874,750160012,3,310241.4783333334,166.51999999999998,9.540000000000001,198.98,53.74,552.2099999999999,362.77000000000004,508.01
875,750300014,2,20340.165000000005,32.3,0.0,21.49,2.59,,,
876,750300071,2,129704.05999999995,94.66000000000001,0.0,40.91,8.8,,,
877,750300089,2,55254.04000000002,22.85,0.0,19.37,2.0,,,
878,750300097,3,34558.369999999995,14.64,9.0,6.55,3.2,,,
879,750300121,3,169385.48166666663,66.03999999999999,0.0,38.84,7.65,,,
880,750300139,2,56839.154999999984,42.68,0.0,34.55,3.89,,,
881,750300154,2,135552.055,91.4,0.0,52.36,10.6,,,
882,750300360,2,110052.87666666668,97.93,0.0,76.06,5.6,110.66,34.6,105.06
883,750300410,2,38197.46,25.0,0.0,19.4,4.0,25.9,6.5,21.9
884,750300493,2,55851.670000000006,18.0,0.0,20.96,1.96,,,
885,750300550,2,23914.390000000003,40.0,0.0,10.5,1.0,,,
886,750300592,2,46491.64,39.5,0.0,17.0,1.0,,,
887,750300667,3,32091.99,18.0,0.0,15.43,4.08,,,
888,750300741,2,31842.67000000001,22.0,0.0,13.56,1.2,,,
889,750300766,2,155376.22166666668,50.29,0.0,49.28,4.16,,,
890,750300774,2,68854.82,47.52,0.0,24.37,2.96,,,
891,750300840,2,41782.73,73.0,0.0,23.04,3.47,,,
892,750300857,2,24919.75,17.1,0.0,9.0,1.0,,,
893,750300881,2,64504.68,46.0,0.0,26.72,2.08,,,
894,750300915,2,79857.20499999999,56.1,0.0,47.27,9.0,,,
895,750300931,2,12523.73,23.39,0.0,11.46,0.15,,,
896,750301137,2,115615.47000000002,50.31,0.0,48.92,11.0,,,
897,750301145,2,114170.84999999998,58.0,0.0,42.19,4.0,52.989999999999995,10.8,48.989999999999995
898,750301160,2,69369.02000000002,22.0,12.0,21.89,5.72,,,
899,750712184,1,9116903.050000008,445.42535630280895,311.53912865497085,215.91105263157897,165.55736842105264,544.2281578947369,639.8562339181287,690.2099181286551
900,750790164,2,1302.34,6.5,0.0,3.0,,,,
901,750810798,1,6417.44,12.9,6.0,20.72,11.5,38.46,23.740000000000002,32.96
902,760000166,3,330687.14833333343,77.72,135.0,127.45,29.05,296.74,304.29,402.69
903,760021329,2,259737.52166666664,64.34,4.199999999999999,59.46,16.94,95.77,40.510000000000005,83.03
904,760024042,1,722762.0933333333,95.49999999999999,96.0,110.33,76.245,236.445,222.115,256.2
905,760025312,2,177368.72666666663,73.5,0.0,63.25,13.68,97.43,34.18,83.75
906,760027292,2,71784.44166666665,26.5,0.0,17.64,6.6,25.54,7.8999999999999995,18.94
907,760780023,1,566145.0583333331,120.78,189.51000000000002,80.0,56.035,180.33,289.84000000000003,313.80500000000006
908,760780056,1,10395.095,10.120000000000001,0.0,16.96,18.25,44.36,27.4,26.11
909,760780064,1,11110.46,2.86,0.0,7.24,15.51,29.009999999999998,21.77,13.5
910,760780205,2,31675.09500000001,27.0,0.0,8.84,3.4,,,
911,760780239,1,3091538.028333338,376.4241666666667,706.4066666666666,146.036,222.32799999999997,497.7575,1058.1281666666666,981.8361666666667
912,760780254,1,3318.72,3.34,3.0,4.64,4.85,10.719999999999999,9.08,8.87
913,760780262,1,73599.84500000002,28.009999999999998,28.53,32.18,16.28,52.18,48.53,64.43
914,760780510,2,155309.795,42.32,0.0,40.23,19.18,,,
915,760780619,2,194667.50666666668,45.879999999999995,0.0,50.19,28.0,,,
916,760780668,2,22373.580000000005,15.0,0.0,7.42,,,,
917,760780726,1,1219933.2933333332,209.18,152.785,119.07666666666665,169.13333333333333,399.11833333333334,432.8266666666667,382.77
918,760780734,1,200719.63333333333,46.86500000000001,18.88,29.069999999999997,48.205,87.815,77.625,58.489999999999995
919,760780742,1,106341.07333333336,22.92,16.71,24.34,13.105,58.215,50.585,61.82
920,760780783,2,28601.470000000005,8.25,0.0,11.1,2.0,,,
921,760780791,2,113355.24166666673,33.0,0.0,41.46,31.12,82.65,41.19,51.53
922,760780825,2,45861.935000000005,7.5,0.0,11.4,5.0,,,
923,760783159,2,9145.645,9.07,0.0,9.0,4.16,,,
924,760921809,2,224940.38166666657,61.5,0.0,56.5,10.1,76.89999999999999,20.4,66.8
925,770020477,3,122991.50333333334,52.4,0.0,70.8,26.0,124.8,54.0,98.8
926,770021145,1,1679703.7433333346,211.1413333333333,121.3725,102.13799999999999,151.65333333333334,350.53066666666666,369.7651666666667,320.2498333333333
927,770021152,1,631327.0633333331,88.69666666666666,43.92,84.78666666666666,41.76,174.9033333333333,134.03666666666666,177.06333333333333
928,770110054,1,658214.668333333,186.39,99.315,123.915,84.425,284.01,259.40999999999997,298.9
929,770110070,1,290258.9633333334,79.46000000000001,22.740000000000002,105.48,72.26,223.25,140.51000000000002,173.73000000000002
930,770300010,2,100283.97499999996,29.0,0.0,36.0,2.8,,,
931,770300135,2,145596.84999999998,46.53,0.0,32.69,2.5,50.989999999999995,18.3,48.489999999999995
932,770300143,2,129952.18166666669,31.0,0.0,31.15,14.92,,,
933,770300192,2,22399.01,14.12,0.0,13.33,2.0,,,
934,770300275,2,17844.209999999995,23.0,0.0,6.94,1.5,,,
935,770790707,2,92628.4,32.0,0.0,21.81,5.0,,,
936,770813400,2,68173.68666666668,22.0,0.0,19.0,1.0,,,
937,780001236,1,1008724.3133333328,186.455,166.135,160.045,125.535,395.87,401.96,436.46999999999997
938,780002697,1,241751.54333333336,82.43666666666667,69.39,44.10333333333333,45.94,116.13,141.41666666666669,139.57999999999998
939,780018727,2,59043.455,30.259999999999998,0.0,19.66,2.0,,,
940,780021788,1,10852.68,4.2,0.0,10.05,11.04,23.490000000000002,13.44,12.450000000000001
941,780022737,2,25859.936666666665,,0.0,4.71,1.2,6.61,1.9,5.41
942,780024113,1,59672.35,59.275000000000006,17.82,68.24,56.64,152.31,101.88999999999999,113.48999999999998
943,780110011,1,498729.8633333332,165.72,142.2,165.86,168.76,434.91,411.24999999999994,408.35
944,780110052,1,353981.0033333334,99.11999999999999,69.42,120.19,66.09,239.32,188.55,242.64999999999998
945,780110078,1,1135086.1483333337,366.195,272.8,154.95,119.71,444.03999999999996,561.89,597.13
