,Numero_finess,Médecins libéraux,Autres personnels médicaux libéraux,Médecins salariés,Autres personnels médicaux salariés,Personnels de direction et administratifs,Personnels des services de soins,Personnels éducatifs et sociaux,Personnels médico-techniques,Personnels techniques et ouvriers,Points_ISA,stjr,Internes,Personnel médical,Personnel médical si LIB=0.1,Personnel médical si LIB=0.9
518,500000062,2.0,0.0,0.22,1.0,10.31,40.96,0.64,,15.33,5098.133333333334,1,0.0,3.22,1.62,4.82
519,500000096,0.0,0.0,7.18,1.5,17.19,95.09,0.46,6.91,24.57,31244.379999999997,1,1.02,8.68,8.68,8.68
520,500000112,1.0,0.0,88.25999999999999,27.990000000000002,158.24,838.1,8.64,68.91,148.74,618131.3483333333,1,185.39999999999998,117.25,116.44999999999999,118.04999999999998
521,500000146,13.5,16.5,3.29,1.55,28.14,135.86,2.11,3.65,2.73,78809.85166666667,2,0.0,34.839999999999996,10.84,58.839999999999996
522,500000203,10.0,4.5,1.0,1.33,20.18,62.97,,1.0,7.48,52000.460000000014,2,0.0,16.83,5.23,28.43
523,500000393,0.0,0.0,10.620000000000001,2.22,51.94,295.18,4.53,12.85,44.78,151779.65833333335,1,3.54,12.840000000000002,12.840000000000002,12.840000000000002
524,500000401,4.5,5.0,1.38,0.9,12.9,49.82,,4.33,4.48,37387.77,2,0.0,11.78,4.18,19.38
525,500002357,12.5,11.5,0.0,1.34,17.58,84.74,,2.71,1.5,101508.68000000004,2,0.0,25.34,6.14,44.540000000000006
526,510000029,0.0,0.0,138.73183333333336,161.86666666666667,129.03000000000003,603.978,9.296000000000001,82.3525,128.558,2354220.0183333345,1,350.06666666666666,300.59850000000006,300.59850000000006,300.59850000000006
527,510000037,0.0,0.0,70.25,31.779999999999998,119.06,575.5,6.44,46.99,76.29,369027.5083333333,1,112.92,102.03,102.03,102.03
528,510000060,0.0,0.0,31.455,18.07,37.475,180.32000000000002,1.56,36.56,97.55,289226.44333333336,1,57.75,49.525,49.525,49.525
529,510000078,0.5,0.5,13.54,4.88,40.34,142.01,3.51,9.13,43.89,70915.74,1,5.16,19.419999999999998,18.619999999999997,20.22
530,510000102,0.0,0.0,2.17,0.68,6.04,69.66,,4.35,18.83,5098.133333333334,1,0.0,2.85,2.85,2.85
